0,100000
5,21608
15,94432
16,38112
23,84240
34,91952
40,84608
44,70928
55,20112
62,50232
78,78576
83,72680
91,99848
100,92216
119,58920
131,9664
139,58528
140,69848
159,65520
190,14320
204,57392
214,17432
222,90984
230,97328
238,44568
242,64888
244,4136
247,83256
284,55632
285,64952
287,14984
318,10216
319,78984
323,70920
325,34376
336,10024
338,37568
366,76776
373,85584
377,65792
387,14272
391,19688
394,18688
410,41840
422,95664
428,62056
429,35144
443,4624
468,67264
470,91200
478,67224
485,92728
504,8384
509,5584
514,58480
519,76304
524,45216
534,27472
549,57368
555,2776
557,20744
561,13912
571,13016
578,70088
582,27120
586,54240
588,72296
589,46064
600,22168
603,51112
605,42472
611,7088
613,98672
616,18024
630,89736
633,74112
639,1952
671,34616
674,30496
675,56472
681,28928
684,80096
688,57352
693,88016
702,42624
706,62032
710,72160
714,99584
717,91896
728,42008
738,11272
749,62552
758,16896
766,8984
774,7824
782,49848
788,14648
793,77384
804,49488
806,50664
819,36944
829,85528
838,10240
839,92968
848,33624
854,89248
863,18472
867,94792
869,33032
874,97776
884,40976
921,59872
931,1184
940,80448
946,13504
971,35416
986,25632
988,85136
991,72368
997,87832
1018,93600
1021,85056
1042,50744
1056,17632
1058,98720
1059,95888
1060,61600
1062,8536
1064,11824
1078,41664
1084,26776
1091,69376
1105,88576
1114,36960
1126,37312
1130,39080
1133,40568
1134,22816
1140,60920
1159,14568
1176,95104
1194,37456
1226,70584
1237,42808
1238,35640
1245,66216
1247,95704
1250,79928
1254,53912
1266,52832
1272,40040
1276,95576
1283,30136
1287,45808
1302,48968
1308,69480
1313,54336
1314,87952
1366,51712
1367,83584
1369,76328
1375,15392
1391,16768
1401,74968
1417,17952
1418,4872
1423,61656
1431,0
1441,22784
1442,39976
1448,36368
1451,50776
1457,51992
1458,27640
1470,15320
1471,46600
1501,81640
1509,73184
1514,53536
1518,31352
1525,90184
1541,62376
1546,43984
1558,81200
1564,24432
1571,95272
1583,48384
1598,73912
1625,24560
1652,85536
1655,52680
1670,73608
1676,15688
1679,55880
1685,46384
1690,27064
1716,15000
1723,24352
1730,99824
1737,52696
1752,68176
1754,10752
1755,17552
1758,1280
1764,3544
1784,80824
1808,33280
1809,46840
1814,23768
1826,29120
1837,15872
1845,28008
1846,42680
1851,63232
1853,6736
1855,84824
1865,33248
1887,12152
1895,69904
1902,96592
1906,91624
1910,65328
1925,75552
1943,46648
1947,90392
1952,25776
1954,36816
1962,14920
2013,74400
2015,78512
2016,84896
2021,12216
2041,71192
2051,16040
2061,10584
2070,25392
2072,34864
2074,53984
2096,17800
2116,4752
2123,57736
2125,74144
2136,64608
2151,90456
2171,71864
2173,85432
2174,77056
2175,62664
2185,82352
2192,67688
2197,47400
2202,63904
2205,55048
2206,20248
2209,83320
2217,68208
2218,42176
2220,77216
2229,1232
2233,86464
2235,65112
2236,63264
